模型,AUC,F1,敏感度,精确率,特异度
逻辑回归,0.7936861684525236,0.4155611327971497,0.6692307692307692,0.3044915824915825,0.8122360678435445
随机森林,0.7944216219917154,0.394006734006734,0.3274725274725275,0.5434065934065935,0.9628418137763932
梯度提升,0.7846829010380413,0.3411582024113993,0.2692307692307693,0.5303535353535354,0.9665801315334026
