分组,n,BMI中位,年龄中位,身高中位,最佳时点,达标比例,风险等级
G1: BMI<28,19,27.63980131,29.0,160.0,10.592773541223949,0.8001060232739432,低
G2: 28~32,539,30.3715434873514,28.0,160.0,11.571594605028437,0.8001060232739435,低
G3: 32~36,413,33.4882232575624,29.0,160.0,13.233868227667013,0.8001060232739432,高
G4: BMI>=36,111,37.29068808,29.0,164.0,15.887639744844387,0.8001060232739432,高
