模型,R²,调整R²,AIC,BIC,对数似然
M1: 仅孕周,0.009229685693008527,0.008312305772353867,1437.2480497423035,1447.2211826611162,-716.6240248711517
M2: 孕周 + BMI,0.043876527334932414,0.04210428734852811,1400.7335287321716,1415.693228110391,-697.3667643660858
M3: +孕周二次项,0.04768694658288353,0.045036724727362754,1398.4128410398744,1418.3591068775002,-695.2064205199372
M4: +交互项,0.04493610667073911,0.042278229416575996,1401.533787692434,1421.4800535300599,-696.766893846217
M5: 全模型,0.07094042528430122,0.06662323395197911,1375.6647690145228,1405.5841677709614,-681.8323845072614
