品类,均值补货利润(元),报童补货利润(元),提升(%)
花叶类,4820.913690728536,6434.977740808617,33.48045938229948
花菜类,-1276.5235460959418,937.6986709177506,173.45721696913176
水生根茎类,1026.9907432770374,499.5186194293241,-51.360942374669904
茄类,1123.050958494843,1007.9063117347714,-10.252842570420215
辣椒类,3063.3026481525044,3034.9216945276976,-0.9264821953496344
食用菌,1162.7739931257745,2302.775077748602,98.04150173313315
