品类,30天均值MAE,30天均值+星期调整MAE,HoltWinters MAE
花叶类,42.78060952380952,42.80397552349719,50.17475824097543
花菜类,7.183285714285712,8.083985046035846,9.873254189573377
水生根茎类,2.6518142857142855,4.294394550720138,10.31764802460235
茄类,8.376261904761906,7.965494000309525,10.574704259223665
辣椒类,15.547666666666677,17.57349013687877,22.253510464084634
食用菌,17.8807619047619,17.896466217004598,19.42654899119611
