品类,对数正态AIC,伽马AIC,正态AIC,log均值μ,log标准差σ,伽马shape,伽马scale,最优分布
花叶类,1353.4169259742207,12442.334316754936,12753.051513741379,5.111423098090757,0.45084729638919674,5.268686960613999,34.727560146532156,对数正态
花菜类,2106.1066584456325,9547.662947371919,9846.17386393871,3.4752398462863683,0.6383485128987771,2.994043216744142,12.868864461069023,对数正态
水生根茎类,2811.9348263216566,9897.350220036884,10558.709181291833,3.286306387165548,0.8829395671669305,1.6374769540661063,22.841340496865715,对数正态
茄类,2110.9300755500635,8060.2364626394165,8394.667870052364,2.8728585965620344,0.6602331117159949,2.8034093091187757,7.620578926977076,对数正态
辣椒类,1731.2143205193543,11123.39412804817,11715.409543138823,4.287244356389782,0.5365870879804231,3.5253569756619605,23.94466249292622,对数正态
食用菌,2018.3431965693212,10895.360532482024,11504.637591674995,4.0646494901379695,0.6124983995586278,2.8490400876375843,24.613909130016165,对数正态
