残值设定,均值补货总利润(元),报童补货总利润(元),提升(%)
s=0.0p,9920.508487682766,14217.79811516678,43.31723149896497
s=0.2p,12721.271418862229,15180.10956498391,19.328556597541695
s=0.4p,15522.034350041678,16116.069593662101,3.82704502660006
s=0.6p,18322.79728122113,18243.261542195694,-0.4340807672797386
